CL:0000166	CL:0000568 ! amine precursor uptake and decarboxylation cell
CL:0000167	CL:0000151 ! secretory cell
CL:0000168	CL:0000154 ! protein secreting cell
CL:0000168	CL:0000167 ! peptide hormone secreting cell
CL:0000169	CL:0000083 ! epithelial cell of pancreas
CL:0000169	CL:0000164 ! enteroendocrine cell
CL:0000169	CL:0000168 ! insulin secreting cell
CL:0000169	CL:0008024 ! pancreatic endocrine cell
CL:0000170	CL:0000167 ! peptide hormone secreting cell
CL:0000171	CL:0000083 ! epithelial cell of pancreas
CL:0000171	CL:0002067 ! type A enterocrine cell
CL:0000171	CL:0008024 ! pancreatic endocrine cell
CL:0000172	CL:0000167 ! peptide hormone secreting cell
CL:0000173	CL:0000083 ! epithelial cell of pancreas
CL:0000173	CL:0000502 ! type D enteroendocrine cell
CL:0000173	CL:0008024 ! pancreatic endocrine cell
CL:0000174	CL:0000163 ! endocrine cell
CL:0000175	CL:0000179 ! progesterone secreting cell
CL:0000175	CL:0002132 ! stromal cell of ovary
CL:0000176	CL:0000174 ! steroid hormone secreting cell
CL:0000177	CL:0000593 ! androgen secreting cell
CL:0000178	CL:0000177 ! testosterone secreting cell
CL:0000179	CL:0000174 ! steroid hormone secreting cell
CL:0000180	CL:0000174 ! steroid hormone secreting cell
CL:0000181	CL:0000003 ! native cell
CL:0000182	CL:0000066 ! epithelial cell
CL:0000182	CL:0000181 ! metabolising cell
CL:0000182	CL:0000417 ! endopolyploid cell
CL:0000182	CL:0002371 ! somatic cell
CL:0000183	CL:0000003 ! native cell
CL:0000185	CL:0000075 ! columnar/cuboidal epithelial cell
CL:0000185	CL:0000183 ! contractile cell
CL:0000185	CL:0002078 ! meso-epithelial cell
CL:0000186	CL:0000183 ! contractile cell
CL:0000186	CL:0000548 ! animal cell
CL:0000186	CL:0002371 ! somatic cell
CL:0000187	CL:0000183 ! contractile cell
CL:0000187	CL:0000393 ! electrically responsive cell
CL:0000187	CL:0000548 ! animal cell
CL:0000187	CL:0002371 ! somatic cell
